,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,DisNeg
checking_status,1.0,-0.07199432017753866,0.21215382273768113,0.046255387130683376,0.033666174698652886,0.10281401173201059,-0.1982980523860272,-0.09794698388339168,0.14509676466905327,-0.05002313665497457,-0.285190124402352,0.051518331327340794,-0.0487254187530908,-0.08717857007920209,0.038202533124853034,0.1610273969974564,0.0030902703364669853,-0.003705135375510889,-0.11229868921711413,-0.0948858244776711,-0.5419856529696553
duration,-0.07199432017753866,1.0,0.010751342908322501,0.1712597143814259,0.42106126764999,0.13355084078266374,0.129166297353531,0.008253597478491189,0.03837813089430984,-0.06750053413575005,0.20609736966397194,0.4216711799898625,0.17900073810195924,-0.04173086062802034,0.2880292988379019,0.09361309532313339,0.21607464578247443,0.12735267089690228,0.06498899968092332,-0.09378961448566574,0.17473742856496158
credit_history,0.21215382273768113,0.010751342908322501,1.0,-0.24600229262645285,0.15646491582751865,-0.04988490686874258,-0.028239218511053554,-0.08877713273365034,0.09640708094725839,0.15273915288665996,0.07987643991898143,0.11771837534573666,0.05426294133836859,-0.12248993341342271,-0.08974668209711166,0.4122859789786613,0.04309487552629817,-0.04157652617470175,0.06717032322005406,-0.047811055729505766,-0.050104024486898525
purpose,0.046255387130683376,0.1712597143814259,-0.24600229262645285,1.0,-0.04358628944357455,-0.11548585689398756,-0.1130681568327496,0.15678232423125912,0.038262051762975466,0.10339188062793937,-0.061939383014419196,0.13570776035763804,0.08102998333180685,-0.06717757707874278,0.015218164133087037,0.025189279573899,0.052022941843167234,0.1527241933626926,0.16793835406958713,-0.11379377564806456,0.32455916470097557
credit_amount,0.033666174698652886,0.42106126764999,0.15646491582751865,-0.04358628944357455,1.0,0.3254181981817101,-0.03503714095982894,-0.47520860220294364,-0.0077290422603824745,0.004211814642711597,0.1568148626643766,0.48511583951629456,0.15428428735759034,0.08108786632161492,0.32320063391080806,0.074507992902749,0.23702483460252555,-0.023674824927263093,0.38091506848477513,0.17241379633448708,-0.008279234049462661
savings_status,0.10281401173201059,0.13355084078266374,-0.04988490686874258,-0.11548585689398756,0.3254181981817101,1.0,0.16912600412370857,-0.23966268839087698,0.2508367003755127,-0.22283579973847178,-0.029247908621597186,0.11733942389692706,0.09983926886896016,0.062485192804622294,0.1726470581194485,0.03654068568632231,-0.06400957417156876,0.09696277616689859,0.11111325079887831,-0.0744893197685634,-0.3686509202167296
employment,-0.1982980523860272,0.129166297353531,-0.028239218511053554,-0.1130681568327496,-0.03503714095982894,0.16912600412370857,1.0,-0.07227429966729357,0.039571739866584195,0.027914099524833032,0.3336147842637835,-0.13796481987873016,0.30600351008550586,-0.045625974265225806,0.021052722700693676,0.06117585743489922,-0.04049040636785995,0.08773500588263607,-0.07067040216823144,0.17385305563227446,0.06695451355247305
installment_commitment,-0.09794698388339168,0.008253597478491189,-0.08877713273365034,0.15678232423125912,-0.47520860220294364,-0.23966268839087698,-0.07227429966729357,1.0,0.08937349213319137,-0.07067252943080665,-0.15031760606316572,-0.14007676378176573,-0.12622423500809624,-0.035478751134588184,-0.006086050643255774,-0.1305843606079503,-0.00782228080178762,0.0024734939866256464,-0.13786664018994937,-0.26713676497397526,0.1437212477819107
personal_status,0.14509676466905327,0.03837813089430984,0.09640708094725839,0.038262051762975466,-0.0077290422603824745,0.2508367003755127,0.039571739866584195,0.08937349213319137,1.0,-0.015765825633265073,-0.24621711897118445,0.16051689305230457,0.15915648799099338,-0.20269698618118095,0.2240784095444956,0.2554529268651342,-0.22032727429370527,0.3059577554578463,0.1466955155468769,-0.2969634015160059,-0.008876000183615528
other_parties,-0.05002313665497457,-0.06750053413575005,0.15273915288665996,0.10339188062793937,0.004211814642711597,-0.22283579973847178,0.027914099524833032,-0.07067252943080665,-0.015765825633265073,1.0,0.08201940008732903,0.021149939194012247,0.31894346415670266,-0.25809869858009943,-0.18553097628857085,-0.014322914481163495,-0.05690506092536158,0.10410829467682857,0.17378200102629487,-0.04532596090993365,0.14545838091870555
